OBJECTID,FEATURE_ID,OPERATIONAL,LENGTH,DIRECTION,CARRIAGEWAY,ROAD_NAME,BOROUGH,WEEK_DAYS,SATURDAY,SUNDAY,EVENT_DAYS,VEHICLES,ROUTE,LANE_TYPE,ROADTYPE,YEAR_REMOVED,DATASET_LAST_UPDATED,Shape__Length
50152,af73426d-82f5-49ad-b6d3-c049f05f7df5,Live,190,South,Nearside,Amersham Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 136, 171, 172, 321, 436, N21, N136, N171",Not Applicable,TLRN,,2024/08/13 00:00:00+00,190.371572231209
50153,ee56d193-b8c5-49ee-9fa9-bc57fe29fac7,Live,128,South West,Nearside,Balham High Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","155, 249, 355, N155, UL41",Not Applicable,TLRN,,2024/08/13 00:00:00+00,127.972714935594
50154,e16579de-c52e-4c52-983c-164a3703a797,Live,200,North,Nearside,Commonside West,Merton,07:00-10:00,07:00-10:00,Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","264, 270, 355",Not Applicable,Borough,,2024/08/13 00:00:00+00,199.578745801489
50155,924c1048-b37f-486f-b116-7865555883c4,Live,115,North,Nearside,High Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","67, 76, 149, 243, 349, 476, N73",Not Applicable,TLRN,,2024/08/13 00:00:00+00,114.654691880244
50156,4e25792c-ab59-4c24-9c94-0463308ae093,Live,301,North West,Nearside,Holloway Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 43, 153, 263, 393, N41, N271, UL21, UL42, UL70",Not Applicable,TLRN,,2024/08/13 00:00:00+00,301.293758825262
50157,960e47af-d303-40f4-8de1-2af95096896c,Live,84,North East,Nearside,Bath Road,Hounslow,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","81, 203, 222, 482, H32, H91, H98, N9, UL29, UL31",Not Applicable,Borough,,2024/08/13 00:00:00+00,84.0607963757935
50158,7fd84942-3d4a-41be-a422-beb2f50067f8,Live,121,South West,Nearside,Hillstowe Street,Hackney,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","55, 56, N38, N55, UL10, UL40, UL60, UL69",Not Applicable,Borough,,2024/08/13 00:00:00+00,120.634024371848
50159,440dbfd1-f1a1-49ae-8e98-d0ef047422ba,Live,38,East,Nearside,Turnpike Lane,Haringey,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","41, 144, N41, N91",Not Applicable,Borough,,2024/08/13 00:00:00+00,37.915542500785
50160,e73c3245-bf55-4822-bc20-9aecacf5b3f0,Live,330,South West,Nearside,Marlborough Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","17, 43, 263, N41, N271",Not Applicable,TLRN,,2024/08/13 00:00:00+00,330.123965957324
50161,4bd458f1-90ad-42be-a00d-27899e66614b,Live,193,East,Nearside,Pearman Street,Lambeth,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","12, 53, 59, 148, 453, N53, N109, N155, SL6, Y148",Not Applicable,Borough,,2024/08/13 00:00:00+00,193.342028973072
